filename,compute_source,source_zip,seq_len,seed,tf_steps,batch_size,step,eval_exact,eval_ce,eval_ret_top1,writer_recall,loss
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,50,0.5,17.7392,1.0,0.625,0.0137
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,100,0.7,33.7787,1.0,0.625,0.0077
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,150,0.9,10.2521,1.0,0.625,0.0038
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,200,0.9,9.3641,1.0,0.75,0.0025
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,250,0.8,18.9937,1.0,0.875,0.002
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,300,0.7,31.116,1.0,0.875,0.001
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,350,0.9,6.7856,1.0,1.0,0.0008
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,400,0.9,7.7185,1.0,0.875,0.001
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,450,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,500,0.9,11.3367,1.0,0.875,0.0008
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,550,1.0,0.0,1.0,1.0,0.0006
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc,4096,6,600,1,600,1.0,0.0,1.0,1.0,0.0004
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,50,0.55,31.2847,1.0,0.625,0.014
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,100,0.475,19.9604,1.0,0.625,0.0059
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,150,0.775,12.0925,1.0,0.75,0.003
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,200,0.825,6.8966,1.0,0.7812,0.0017
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,long,4096,7,600,4,250,0.95,2.4818,1.0,0.8438,0.0014
